"StrUeb2212_2221","-36","52"
"Recklinghausen Ost, 58W202","-30","55"
"Recklinghausen Hbf, 84W45","-28","50"
"StrUeb2103_2120_2","-41","75"
"StrUeb2231_2239","-40","40"
"StrUeb2236_2246","-35","34"
"StrUeb2125_2140_2","-40","65"
"StrUeb2237_2650","-37","47"
"Wanne-Eickel Hbf, W 25","-37","47"
"StrUeb2243_2244_1","-9252","16859"
"StrUeb2600_2610_1","-93","19"
"Bottrop Hbf, W 319","-39","24"
"StrUeb2263_2270","-24","-7"
"StrUeb2265_2931","12","86"
"StrUeb2270_2277","-43","15"
"StrUeb2270_2321","-40","19"
"Düsseldorf-Unterrath, W 852","-63","7"
"Oberhausen Hbf, W 23","-43","15"
"Oberhausen Hbf, W 512","-43","15"
"Abzw Oberhausen Mathilde, W 143","-38","15"
"Essen West, W 487","-45","28"
"StrUeb2281_2304","-41","11"
"Oberhausen West, W 82","-41","11"
"Oberhausen West, W 253","-41","11"
"Mülheim (Ruhr)-Styrum","-45","15"
"Oberhausen-Osterfeld, 42W332","-40","19"
"Duisburg Hbf, W 730","-47","8"
"Hattingen (Ruhr), W 707","-50","49"
"StrUeb2302_2327","-41","11"
"StrUeb2132_2650_1","-35","89"
"StrUeb2304_2331","-41","11"
"Duisburg Hbf, 32W600","-47","8"
"Duisburg-Großenbaum, 34W208","-53","8"
"Duisburg-Hochfeld Süd Abzw, 35W147","-49","5"
"Duisburg-Großenbaum, W 212","-53","8"
"Abzw Duisburg Sigle, W 14","-55","8"
"StrUeb2320_2331","-34","5"
"Duisburg-Wedau Bissingheim, 04W21","-51","11"
"Düsseldorf-Eller, W 472","-70","14"
"W 62","-79","25"
"StrUeb2324_2690_1","-101","36"
"Trompet, W 70","-105","-381"
"StrUeb2330_2505","-367","101"
"Trompet, W 20","-105","-381"
"Abzw Duisburg-Mühlenberg, W 1","-51","-2"
"Krefeld-Uerdingen, 7W8","-55","-6"
"Hagen Hbf, W 71","-54","76"
"Hagen-Vorhalle, W 553","-51","73"
"Hagen-Vorhalle, W 422","-51","73"
"Hagen-Vorhalle, W 584","-51","73"
"Abzw Düsseldorf Rethel, W 971","-67","10"
"Abzw Düsseldof Dora, W 4","-69","10"
"StrUeb2411_2670","-70","14"
"Abzw Düsseldorf Sturm, W 402","-67","9"
"Herdecke, W 814","-50","73"
"StrUeb2500_2504","-55","-6"
"Rheinhausen, W 77","-367","101"
"Viersen, W 94","-64","-30"
"Viersen-Helenabrunn, W 215","-67","-28"
"Mönchengladbach Hbf, W 15","-70","-25"
"StrUeb2521_2550","-70","-25"
"Rheydt Hbf, 61W51","-74","-26"
"StrUeb2525_2550_2","-70","-2"
"Wuppertal-Vohwinkel, W 88","-67","37"
"Wuppertal-Zoologischer Garten, 82W03","-66","41"
"Wuppertal-Steinbeck, W 86W01","-65","44"
"W 7","-71","-1"
"Neuss Steinhausstr., W 31","-69","-3"
"Abzw Neuss Nordkanal, W 3","-63","-14"
"StrUeb2531_2610_3","-71","-1"
"Abzw Weißenberg, W 312","-288","432"
"Abzw Neuss Erftkanal, W 185","-73","6"
"StrUeb2543_2550","-102","-59"
"StrUeb2550_2600","-113","-61"
"Rheydt Hbf, 61W43","-74","-26"
"Hagen Hbf, W 9 Witten","-54","76"
"StrUeb2550_2840","-47","87"
"Schwerte (Ruhr) Ost, W 326","-47","87"
"Bedburg (Erft), 70W12","-90","-14"
"Köln-Ehrenfeld, W 50","-93","19"
"StrUeb2600_2613_2","-93","19"
"Düren, W 233","-110","-22"
"StrUeb2601_2611","-82","-8"
"Köln-Longerich, W 830","-90","22"
"StrUeb2610_2620_2","-84","17"
"Köln-Ehrenfeld, W 44","-93","19"
"Köln-Ehrenfeld, W 1","-93","19"
"StrUeb2613_2617","-96","23"
"Köln West, W 7","-96","23"
"StrUeb2613_2640_2","-96","23"
"StrUeb2616_2639","-96","26"
"Köln West, W 14","-96","23"
"Köln Hbf, W 144","-96","26"
"Abzw Köln Steinstraße, W 133","-100","36"
"StrUeb2621_2667","-97","32"
"Abzw Köln-Mülheim Berliner Straße, W 50, W 50","-93","31"
"Abzw K-Mülh. Berl. Str., W 51","-48","16"
"Abzw Köln-Mülheim Berliner Str., W 241","-93","31"
"Hürth-Kalscheuren, W 9","-102","21"
"Hürth-Kalscheuren, W 36","-102","21"
"StrUeb2630_2640_2","-102","21"
"Köln Süd, W 1","-97","24"
"StrUeb2630_2645","-118","43"
"Köln Messe/Deutz, W 615","-96","28"
"Köln Messe/Deutz, W 613","-96","28"
"Köln Messe/Deutz, W 612","-96","28"
"Köln Bonntor, W 1","-99","26"
"Köln-Mülheim, W 174","-92","32"
"Köln Messe/Deutz, W 645","-96","28"
"StrUeb2651_2660","-97","32"
"Köln-Kalk, 22W9","-97","33"
"StrUeb2651_2693","-104","38"
"StrUeb2651_2694","-107","41"
"StrUeb2651_2695","-108","44"
"Abzw Köln-Mülheim Berliner Str., W 48","-93","31"
"Overath, W 4304","-97","58"
"StrUeb2658_2660","-48","18"
"Köln-Mülheim, Stw Mf, W 101","-92","32"
"Hilden, W 56","-73","24"
"Solingen Hbf, 28W32","-74","30"
"Solingen Hbf, 28W76","-74","30"
"Opladen, 24W20","-239","-99"
"StrUeb2691_2693","96","67"
"StrUeb2691_2694","-104","38"
"Opladen, W 79","-239","-99"
"Remscheid Hbf, W 64","-72","50"
"Hagen Hbf, W 11","-54","76"
"Hagen-Kabel, W 342","-49","79"
"StrUeb2803_2820","-51","71"
"Hagen-Vorhalle, W 508","-51","73"
"W 505","-51","71"
