"Streckennummer","Streckenabschnitt","Gleisart", "Länge","Höchstgeschwindigkeit","Bremsweg"
"2645","Bonn Hbf - Bonn-Endenich Nord","Richtungsgleis","2,7","110","700 m Bremsweg"
"2620","Köln-Nippes - Köln-Nippes Wendeanlage","Gegengleis","0,3","80","1000 m Bremsweg"
"2620","Köln-Nippes - Köln-Nippes Wendeanlage","Richtungsgleis","0,3","80","700 m Bremsweg"
"2620","Köln-Nippes Wendeanlage - Köln Etzelstraße","Gegengleis","0,5","80","1000 m Bremsweg"
"2620","Köln-Nippes Wendeanlage - Köln Etzelstraße","Richtungsgleis","0,5","80","1000 m Bremsweg"
"2815","Meinerzhagen - Krummenerl","eingleisig","12,1","40","700 m Bremsweg"
"2326","Duisburg-Wedau - Duisburg-Hochfeld Süd","eingleisig","2,1","70","700 m Bremsweg"
"2810","Halver-Oberbrügge - Kierspe","eingleisig","8,8","80","700 m Bremsweg"
"2100","Lünen Hbf - Bork (Westf)","eingleisig","8,1","100","700 m Bremsweg"
"2100","Bork (Westf) - Selm-Beifang","eingleisig","2,7","100","700 m Bremsweg"
"2302","Oberhausen West - Oberhausen West Orm","eingleisig","0,1","40","1000 m Bremsweg"
"2400","Wengern Ost DB-Grenze - Wengern Ost","eingleisig","0,2","80","700 m Bremsweg"
"2332","Trompet - Trompet-Sachtleben C","eingleisig","2,9","30","400 m Bremsweg"
"2150","Bochum Hbf, 14W216 - Bochum Hbf","eingleisig","0,5","60","700 m Bremsweg"
"2204","Wanne-Eickel Hbf, W 9 - Wanne Unser Fritz, W 12","eingleisig","3,3","70","700 m Bremsweg"
"2204","Wanne-Eickel Bro - Wanne-Eickel Hbf, W 9","eingleisig","2,1","40","700 m Bremsweg"
"2208","Herne, W 365 - Herne Hot","Gegengleis","0,4","60","1000 m Bremsweg"
"2208","Herne, W 365 - Herne Hot","Richtungsgleis","0,4","60","700 m Bremsweg"
"2850","Menden DB-Grenze - StrUeb2850_2853","eingleisig","0,8","50","400 m Bremsweg"
"2850","StrUeb2850_2853 - Menden (Sauerland)","Gegengleis","0,2","70","400 m Bremsweg"
"2850","StrUeb2850_2853 - Menden (Sauerland)","Richtungsgleis","0,2","70","400 m Bremsweg"
"2932","Unna, W 4 - Unna","eingleisig","0,3","130","1000 m Bremsweg"
"2146","StrUeb2146_2190 - Bochum-Langendreer","eingleisig","0,3","auf Anfrage","auf Anfrage"
"2616","Köln Hbf, W 72 - Köln Bbf","Gegengleis","0,1","30","400 m Bremsweg"
"2616","Köln Hbf, W 72 - Köln Bbf","Richtungsgleis","0,1","30","400 m Bremsweg"
